,meta.page.currentPage,meta.page.from,meta.page.lastPage,meta.page.perPage,meta.page.to,meta.page.total,data.type,data.id,data.attributes.nomor_pb_umku,data.attributes.nama,data.attributes.website,data.attributes.sektor,data.attributes.nama_perusahaan,data.attributes.tanggal_daftar,data.attributes.nomor_tanda_daftar,data.attributes.qr_code,data.attributes.status_id,data.attributes.sistem_elektronik_id
18,2,11,41,10,20,404,tdpseTerbit,10884,,EAGLE EYE AIR,eagleeye.com,Sektor Teknologi Informasi dan Komunikasi,Eagle Eye Solutions Australasia,2022-08-30,007552.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/06776a90583b6360bf9700fcc5e7263a.png,TERDAFTAR,10695
19,2,11,41,10,20,404,tdpseTerbit,10854,,THE LITT APP,home.thelittapp.com,Sektor Teknologi Informasi dan Komunikasi,LITT GLOBAL,2022-08-28,007539.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/544b7cc1c3c4b60eec40b43dedb78b0e.png,TERDAFTAR,10664
20,3,21,41,10,30,404,tdpseTerbit,10852,,GRIP LEARNING PLATFORM,grip-learning.com,Sektor Teknologi Informasi dan Komunikasi,GRIP PRINCIPLE PTE LTD,2022-08-28,007537.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/ff225a56667c330c3b5432f1eb351489.png,TERDAFTAR,10662
21,3,21,41,10,30,404,tdpseTerbit,10849,,MUSLIM PRO,muslimpro.com,Sektor Teknologi Informasi dan Komunikasi,BITSMEDIA PTE. LTD.,2022-08-27,007535.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/8713f7fccfd1ad5986815ca0f749cfc3.png,TERDAFTAR,10659
22,3,21,41,10,30,404,tdpseTerbit,10848,,QALBOX,app.muslimpro.com,Sektor Teknologi Informasi dan Komunikasi,AQALB PTE. LTD.,2022-08-27,007534.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/e2ea1d1eaef8af81db40e24128a76ce9.png,TERDAFTAR,10658
23,3,21,41,10,30,404,tdpseTerbit,10842,,ATQM LEARNING SOLUTIONS PRIVATE LIMITED,QUIZIZZ.COM,Sektor Teknologi Informasi dan Komunikasi,ATQM LEARNING SOLUTIONS PRIVATE LIMITED,2022-08-26,007525.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/18ac6a50a9f6ee95b96f7f16fe56ec22.png,TERDAFTAR,10651
24,3,21,41,10,30,404,tdpseTerbit,10841,,QUIZIZZ.COM,quizizz.com,Sektor Teknologi Informasi dan Komunikasi,ATQM LEARNING SOLUTIONS PRIVATE LIMITED,2022-08-26,007525.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/221c475e31b553b85b9dbc48c5f6910d.png,TERDAFTAR,10650
25,3,21,41,10,30,404,tdpseTerbit,10813,,WEST GAME,leyi-game.com,Sektor Teknologi Informasi dan Komunikasi,"LEXIANG CO., LIMITED",2022-08-25,007506.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/e27d353718987ee0ce1c9c2016708dec.png,TERDAFTAR,10624
26,3,21,41,10,30,404,tdpseTerbit,10800,,UNITY,unity.com,Sektor Teknologi Informasi dan Komunikasi,Unity Technologies,2022-08-24,007496.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/62a86cd5d544f95f9fc9eea749c18456.png,TERDAFTAR,10611
27,3,21,41,10,30,404,tdpseTerbit,10794,,NIGO,http://www.kdglobal.xyz/index.html,Sektor Teknologi Informasi dan Komunikasi,LUCKY LIVE  LIMITED,2022-08-24,007493.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/3fc434850921b6fab451e6750b12c4ca.png,TERDAFTAR,10606
28,3,21,41,10,30,404,tdpseTerbit,10736,,CAMSEA - LIVE VIDEO CHAT,camsea.online,Sektor Teknologi Informasi dan Komunikasi,MITU INC LIMITED,2022-08-23,007466.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/99b79da1b226c94179387b58ae0816c5.png,TERDAFTAR,10567
29,3,21,41,10,30,404,tdpseTerbit,10735,,OMEGA - LIVE RANDOM VIDEO CHAT,omega.app,Sektor Teknologi Informasi dan Komunikasi,EXU (HK) LIMITED,2022-08-23,007465.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/c7067cec05676b23c557187639ec7a9b.png,TERDAFTAR,10566
30,4,31,41,10,40,404,tdpseTerbit,10894,,HEROES OF MYTHIC MIGHT,play.google.com/store/apps/details?id=com.onefun.gp.oh,Sektor Teknologi Informasi dan Komunikasi,"SHANGHAI YUAN QU YU LE CO., LTD.",2022-08-30,007459.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/5bdb4513f511473319979efa538b96c3.png,TERDAFTAR,10706
31,4,31,41,10,40,404,tdpseTerbit,10726,,ZERO-BASED WORLD,zerogame.com,Sektor Teknologi Informasi dan Komunikasi,"SHANGHAI YUAN QU YU LE CO., LTD.",2022-08-23,007459.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/66289835ebc8f40a2f545ca340aa3810.png,TERDAFTAR,10558
32,4,31,41,10,40,404,tdpseTerbit,10711,,37GAMES.COM,37games.com,Sektor Teknologi Informasi dan Komunikasi,WISDOM ENTERTAINMENT ONLINE INTERNATIONAL LIMITED,2022-08-23,007452.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/6bca24129b5b4731a057f1f55a07b3b2.png,TERDAFTAR,10543
33,4,31,41,10,40,404,tdpseTerbit,10708,,LION,-,Sektor Teknologi Informasi dan Komunikasi,LEON LION,2022-08-23,007450.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/293dc7db14f47c68f1ae96f86fbfd2dc.png,TERDAFTAR,10541
34,4,31,41,10,40,404,tdpseTerbit,10685,,HAY - LIVE VIDEO CHAT,hay.fun,Sektor Teknologi Informasi dan Komunikasi,HG VISION PTE.LTD.,2022-08-22,007435.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/f7d10800385002f70889efd859525dbb.png,TERDAFTAR,10518
35,4,31,41,10,40,404,tdpseTerbit,10684,,WAR OF DEITIES,leyi-game.com,Sektor Teknologi Informasi dan Komunikasi,JOYSTIX LIMITED,2022-08-22,007434.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/1708ac29cb2d1f4b19af848938ce4d91.png,TERDAFTAR,10517
36,4,31,41,10,40,404,tdpseTerbit,10683,,RISE OF EMPIRES,longtech.hk,Sektor Teknologi Informasi dan Komunikasi,LONG TECH NETWORK LIMITED,2022-08-22,007433.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/9365035d971c44819a9810dfea2a2be8.png,TERDAFTAR,10516
37,4,31,41,10,40,404,tdpseTerbit,10682,,MONKEY - LIVE VIDEO CHAT,monkey.app,Sektor Teknologi Informasi dan Komunikasi,"MONKEY, INC,",2022-08-22,007431.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/87a80271ffe92991a73d4f765eb05546.png,TERDAFTAR,10515
38,4,31,41,10,40,404,tdpseTerbit,10681,,MU ORIGIN 2,id.mu2sea.com,Sektor Teknologi Informasi dan Komunikasi,GAMENOW TECHNOLOGY LIMITED,2022-08-22,007430.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/1161c4e1895c5aa927410ab454c071e2.png,TERDAFTAR,10514
39,4,31,41,10,40,404,tdpseTerbit,10641,,PAYNICORN,paynicorn.com/#/docs,Sektor Keuangan,EASETREND TECHNOLOGY LIMITED,2022-08-20,007394.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/2cd97e477fd6d831af74204f1c02404e.png,TERDAFTAR,10476
40,5,41,41,10,50,404,tdpseTerbit,10629,,SCOOPER,scoopernews.com,Sektor Teknologi Informasi dan Komunikasi,SCOOPER,2022-08-19,007385.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/b88605013fb5e2793156033aa50654d3.png,TERDAFTAR,10464
41,5,41,41,10,50,404,tdpseTerbit,10628,,PHONE MASTER,https://play.google.com/store/apps/details?id=com.transsion.phonemaster,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-19,007384.05/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/697f3ba9eaffe8ad3a9a8eca88e97c13.png,TERDAFTAR,10463
42,5,41,41,10,50,404,tdpseTerbit,10627,,HI DICTIONARY,https://play.google.com/store/apps/details?id=com.talpa.translate,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-19,007384.04/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/39cfa88ad7c0bd70cee0ed64e869459f.png,TERDAFTAR,10462
43,5,41,41,10,50,404,tdpseTerbit,10626,,HI TRANSLATE,https://play.google.com/store/apps/details?id=com.zaz.translate,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-19,007384.03/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/b186bb52b157962ede86eaa8f40ca445.png,TERDAFTAR,10461
44,5,41,41,10,50,404,tdpseTerbit,10625,,XSHARE,https://play.google.com/store/apps/details?id=com.infinix.xshare,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-19,007384.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/20335c84b41e070ee77e25f9ec4c43d7.png,TERDAFTAR,10460
45,5,41,41,10,50,404,tdpseTerbit,10624,,HI BROWSER,https://play.google.com/store/apps/details?id=com.talpa.hibrowser,Sektor Teknologi Informasi dan Komunikasi,SHANGHAI XIAOCHUAN,2022-08-19,007384.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/2c6240dd58827e12cf5a4e7c3bda5d51.png,TERDAFTAR,10459
46,5,41,41,10,50,404,tdpseTerbit,10623,,MYNUMBERS,my.bics.com,Sektor Teknologi Informasi dan Komunikasi,BELGACOM INTERNATIONAL CARRIER SERVICES SA,2022-08-19,007383.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/fa13a1b41445c04ab7ece59e591c36cb.png,TERDAFTAR,10458
47,5,41,41,10,50,404,tdpseTerbit,10622,,TAPON IOS,tapon.com,Sektor Teknologi Informasi dan Komunikasi,ADMIN@TAPON.COM,2022-08-19,007381.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/a9ca34fb1bb30ceb1d3bd597308a5be1.png,TERDAFTAR,10457
48,5,41,41,10,50,404,tdpseTerbit,10621,,TAPON ANDROID,tapon.com,Sektor Teknologi Informasi dan Komunikasi,ADMIN@TAPON.COM,2022-08-19,007381.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/eab944d427a9faf614a7f32bde83c9a1.png,TERDAFTAR,10456
49,5,41,41,10,50,404,tdpseTerbit,10620,,MCOCEAN.COM,mcocean.com,Sektor Perdagangan,MC OCEAN HOLDING SDN.BHD.,2022-08-19,007380.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/39ccd04febd3bc320d7887a58aa3626e.png,TERDAFTAR,10455
50,6,51,41,10,60,404,tdpseTerbit,10545,,"ASCENTIS CRM, ASCENTIS ECOMMERCE, ASCENTIS CX, ASCENTIS POS",ascentis.com.sg,Sektor Teknologi Informasi dan Komunikasi,ASCENTIS PTE LTD,2022-08-18,007345.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/cf95ce7e7cad56b0047e92fd47b87f63.png,TERDAFTAR,10404
51,6,51,41,10,60,404,tdpseTerbit,10542,,LINE POD,line.me,Sektor Teknologi Informasi dan Komunikasi,LINE PLUS CORPORATION,2022-08-18,007342.05/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/68ca112adb76c40d8d7103854877f25f.png,TERDAFTAR,10400
52,6,51,41,10,60,404,tdpseTerbit,10541,,LINE STORE,line.me,Sektor Teknologi Informasi dan Komunikasi,LINE PLUS CORPORATION,2022-08-18,007342.04/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/dee4e3a5b2090cd8d2b706bb5e74823b.png,TERDAFTAR,10399
53,6,51,41,10,60,404,tdpseTerbit,10540,,LINE GAME,line.me,Sektor Teknologi Informasi dan Komunikasi,LINE PLUS CORPORATION,2022-08-18,007342.03/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/ef7627f0d755ffc6d7bec69ef213fe0e.png,TERDAFTAR,10398
54,6,51,41,10,60,404,tdpseTerbit,10539,,LINE WEBSITE,line.me,Sektor Teknologi Informasi dan Komunikasi,LINE PLUS CORPORATION,2022-08-18,007342.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/607aa64c06e792068b1c80afc5f69292.png,TERDAFTAR,10397
55,6,51,41,10,60,404,tdpseTerbit,10538,,LINE MESSENGER,line.me,Sektor Teknologi Informasi dan Komunikasi,LINE PLUS CORPORATION,2022-08-18,007342.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/3b88eec6e8c5692fa2c70727659efb5a.png,TERDAFTAR,10396
56,6,51,41,10,60,404,tdpseTerbit,10537,,LINE WEBTOON INDONESIA,webtoons.com,Sektor Teknologi Informasi dan Komunikasi,NAVER WEBTOON LTD.,2022-08-18,007341.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/733e88e33652d065e56b1d9923fb19c8.png,TERDAFTAR,10395
57,6,51,41,10,60,404,tdpseTerbit,10444,,HOSTINGER,hostinger.com,Sektor Teknologi Informasi dan Komunikasi,HOSTINGER INTERNATIONAL LIMITED,2022-08-16,007310.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/d7b4b871a17fe354067ee8ba5fbfe8e9.png,TERDAFTAR,10301
58,6,51,41,10,60,404,tdpseTerbit,10443,,BLAZE OF BATTLE,leyi-game.com,Sektor Teknologi Informasi dan Komunikasi,"SHENZHEN LEYI NETWORK CO., LTD.",2022-08-16,007309.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/921a353caa5d0dec14c465dd990b8ba5.png,TERDAFTAR,10300
59,6,51,41,10,60,404,tdpseTerbit,10423,,YAHOO INDONESIA,id.mail.yahoo.com,Sektor Teknologi Informasi dan Komunikasi,YAHOO! SINGAPORE DIGITAL MARKETING PTE. LTD,2022-08-16,007300.04/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/61ab65dcbd9270b715e32af06e663bd7.png,TERDAFTAR,10280
60,7,61,41,10,70,404,tdpseTerbit,10422,,YAHOO INDONESIA,id.search.yahoo.com,Sektor Teknologi Informasi dan Komunikasi,YAHOO! SINGAPORE DIGITAL MARKETING PTE. LTD,2022-08-16,007300.03/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/ea70d439fbfa5b8b6003323e6a9e366f.png,TERDAFTAR,10279
61,7,61,41,10,70,404,tdpseTerbit,10421,,YAHOO INDONESIA,id.berita.yahoo.com,Sektor Teknologi Informasi dan Komunikasi,YAHOO! SINGAPORE DIGITAL MARKETING PTE. LTD,2022-08-16,007300.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/6cb6317cca4daede5fc4a487b46cef91.png,TERDAFTAR,10278
62,7,61,41,10,70,404,tdpseTerbit,10420,,YAHOO INDONESIA,id.yahoo.com,Sektor Teknologi Informasi dan Komunikasi,YAHOO! SINGAPORE DIGITAL MARKETING PTE. LTD,2022-08-16,007300.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/bf209f4ca74eb99555f95b6bdb9af8d7.png,TERDAFTAR,10277
63,7,61,41,10,70,404,tdpseTerbit,10378,,STAFFANY,staffany.com,Sektor Perdagangan,STAFFANY PRIVATE LIMITED,2022-08-15,007274.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/d4bc0c0f92e1075415f2f2cac8708c4d.png,TERDAFTAR,10234
64,7,61,41,10,70,404,tdpseTerbit,10369,,HISAVANA,hisavana.com,Sektor Teknologi Informasi dan Komunikasi,HISAVANA,2022-08-15,007264.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/5c17fb599e5b5ebc2847737873fc4d3e.png,TERDAFTAR,10224
65,7,61,41,10,70,404,tdpseTerbit,10353,,JOYREAD ANDROID,joyread.com,Sektor Teknologi Informasi dan Komunikasi,UNION READ LIMITED,2022-08-15,007255.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/d7860016a3fab7c0e6b9cdc2dcf66cd5.png,TERDAFTAR,10208
66,7,61,41,10,70,404,tdpseTerbit,10352,,JOYREAD IOS,joyread.com,Sektor Teknologi Informasi dan Komunikasi,UNION READ LIMITED,2022-08-15,007255.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/c7d70617e48f33d66135390c58879a4b.png,TERDAFTAR,10207
67,7,61,41,10,70,404,tdpseTerbit,10285,,ALEF EDUCATION PLATFORM,alef.co.id,Sektor Teknologi Informasi dan Komunikasi,ALEF EDUCATION CONSULTANCY LLC,2022-08-12,007226.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/913cb3a679bbb35dc08de005ed9bcb66.png,TERDAFTAR,10167
68,7,61,41,10,70,404,tdpseTerbit,10281,,HOME+SECURITY,home.netatmo.com,Sektor Teknologi Informasi dan Komunikasi,LEGRAND FRANCE,2022-08-12,007220.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/a1eb69edfef3fe6437a19f3c16ec937c.png,TERDAFTAR,10163
69,7,61,41,10,70,404,tdpseTerbit,10280,,HOME+CONTROL,home.netatmo.com,Sektor Teknologi Informasi dan Komunikasi,LEGRAND FRANCE,2022-08-12,007220.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/effd168f623d4b40aba0e11fcbaffd2c.png,TERDAFTAR,10162
70,8,71,41,10,80,404,tdpseTerbit,10246,,CANVA,canva.com,Sektor Teknologi Informasi dan Komunikasi,CANVA PTY LTD,2022-08-11,007177.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/36ffd2c93a588c88fedfa415b4d7ee4c.png,TERDAFTAR,10128
71,8,71,41,10,80,404,tdpseTerbit,10243,,SUGO,voicemaker.media,Sektor Teknologi Informasi dan Komunikasi,MOBILE ALPHA LIMITED,2022-08-11,007175.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/672026201d3aefc38544661fa5987520.png,TERDAFTAR,10124
72,8,71,41,10,80,404,tdpseTerbit,10231,,LITA - MEET GAMER FRIENDS,lita.gg,Sektor Teknologi Informasi dan Komunikasi,BATTUTA TECHNOLOGY PTE.LTD.,2022-08-11,007168.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/e76b127832941f179239c91756d9135d.png,TERDAFTAR,10109
73,8,71,41,10,80,404,tdpseTerbit,10224,,TOP WAR: BATTLE GAME,rivergame.net,Sektor Teknologi Informasi dan Komunikasi,Rivergame Limited,2022-08-11,007165.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/3f2cbe7b980cee6a95b9227b5ecb4ddd.png,TERDAFTAR,10105
74,8,71,41,10,80,404,tdpseTerbit,10211,,ORB MASTER,-,Sektor Teknologi Informasi dan Komunikasi,"HONG KONG TOUDA CO., LIMITED",2022-08-11,007154.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/e17bad5166df0926b5f9f42add8d93d3.png,TERDAFTAR,10090
75,8,71,41,10,80,404,tdpseTerbit,10210,,DOTA2,dota2.com,Sektor Teknologi Informasi dan Komunikasi,Valve Corporation,2022-08-11,007153.03/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/045ff929033135bdaa9afa36fcc6d03b.png,TERDAFTAR,10089
76,8,71,41,10,80,404,tdpseTerbit,10209,,COUNTER-STRIKE: GLOBAL OFFENSIVE (CS:GO),Counter-strike.net,Sektor Teknologi Informasi dan Komunikasi,Valve Corporation,2022-08-11,007153.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/1958b717a5c2ec1e5820bdc07bd4ddbe.png,TERDAFTAR,10088
77,8,71,41,10,80,404,tdpseTerbit,10208,,STEAM,Steampowered.com,Sektor Teknologi Informasi dan Komunikasi,Valve Corporation,2022-08-11,007153.01/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/6c1256078f3eb16d2e2625d3bde14895.png,TERDAFTAR,10087
78,8,71,41,10,80,404,tdpseTerbit,10215,,DYNASTY HEROES: ROMANCE SAMKOK,romancesamkok.com,Sektor Teknologi Informasi dan Komunikasi,PLAYBSET LIMITED,2022-08-11,007129.02/DJAI.PSE/08/2022,https://pse.kominfo.go.id/storage/images/qr_code/601ffecc737dd99a1c0460604f738367.png,TERDAFTAR,10093
